"country","invoices_cnt","avg_invoice_total"
"Chile","7","6.6600000000000000"
"Hungary","7","6.5171428571428571"
"Ireland","7","6.5171428571428571"
"Czech Republic","14","6.4457142857142857"
"Austria","7","6.0885714285714286"
"Finland","7","5.9457142857142857"
"Netherlands","7","5.8028571428571429"
"India","13","5.7892307692307692"
"USA","91","5.7479120879120879"
"Norway","7","5.6600000000000000"
"Germany","28","5.5885714285714286"
"France","35","5.5742857142857143"
"Sweden","7","5.5171428571428571"
"Portugal","14","5.5171428571428571"
"Brazil","35","5.4314285714285714"
"Canada","56","5.4278571428571429"
"United Kingdom","21","5.3742857142857143"
"Spain","7","5.3742857142857143"
"Italy","7","5.3742857142857143"
"Belgium","7","5.3742857142857143"
"Argentina","7","5.3742857142857143"
"Poland","7","5.3742857142857143"
"Australia","7","5.3742857142857143"
"Denmark","7","5.3742857142857143"
